Id,Label,name,support,confidence,lift,Modularity Class,In-Degree,Out-Degree,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Clustering Coefficient,Reciprocated Vertex Pair Ratio,Dynamic Filter
n1138,.,r927,0.00230017,1,4.60053,5,3,1,465.877172,0.000215,0.001245,0.695278,0,0,
n1137,.,r926,0.00230017,1,4.60053,5,3,1,3051.980136,0.000231,0.001932,0.710356,0,0,
n30,china,53,,,,5,1,14,2796.055108,0.000188,0.00017,2.562922,0,0,
n1136,.,r925,0.00230017,1,4.60053,5,3,1,981.892068,0.000216,0.001071,0.721102,0,0,
n1135,.,r924,0.00230017,1,4.60053,3,2,1,2328.291164,0.000216,0.000999,0.578824,0,0,
n1134,.,r923,0.00230017,1,4.60053,4,2,1,1658.528325,0.000215,0.001062,0.658989,0,0,
n36,communication,62,,,,4,0,2,0.666667,0.000171,2.40E-05,0.523427,0,0,
n1133,.,r922,0.0040253,1,4.60053,4,2,1,966.209694,0.000217,0.001235,0.5717,0,0,
n1132,.,r921,0.00287522,1,4.60053,7,2,1,4098.865251,0.000218,0.001076,0.565366,0,0,
n93,health.care,143,,,,7,10,19,14850.37609,0.000208,0.000101,4.875688,0,0,
n1131,.,r920,0.00230017,1,4.60053,4,2,1,408.555966,0.000214,0.001048,0.574047,0,0,
n76,film,119,,,,4,1,7,1078.388349,0.000207,0.000171,1.422724,0,0,
n1130,.,r919,0.00230017,1,4.60053,4,2,1,677.831864,0.000214,0.000973,0.582646,0,0,
n1129,.,r918,0.00230017,1,4.60053,5,2,1,926.859642,0.000223,0.001283,0.572246,0,0,
n1128,.,r917,0.00517539,1,4.60053,4,2,1,1032.380419,0.000216,0.001112,0.579602,0,0,
n1127,.,r916,0.00230017,1,4.60053,2,2,1,1583.345214,0.000213,0.000932,0.626517,0,0,
n0,activism,1,,,,2,0,3,413.430145,0.000185,2.50E-05,0.692313,0,0,
n1126,.,r915,0.00287522,1,4.60053,4,2,1,1267.57017,0.000215,0.001065,0.629555,0,0,
n175,society,279,,,,4,0,3,6.066758,0.000172,3.50E-05,0.681254,0,0,
n1125,.,r914,0.00287522,1,4.60053,4,2,1,1658.528325,0.000215,0.001062,0.658989,0,0,
n37,community,63,,,,4,0,2,0.666667,0.000171,2.40E-05,0.523427,0,0,
n1124,.,r913,0.00287522,1,4.60053,4,2,1,3579.555672,0.00022,0.000929,0.59062,0,0,
n1123,.,r912,0.00230017,1,4.60053,4,2,1,745.553038,0.000216,0.001152,0.572368,0,0,
n1122,.,r911,0.00230017,1,4.60053,5,2,1,295.328421,0.000213,0.001097,0.558718,0,0,
n1121,.,r910,0.00287522,1,4.60053,5,2,1,463.790777,0.000214,0.001022,0.567317,0,0,
n1120,.,r909,0.00345026,1,4.60053,5,2,1,341.361533,0.000214,0.001145,0.558294,0,0,
n1119,.,r908,0.00345026,1,4.60053,5,2,1,705.32272,0.000214,0.000992,0.575506,0,0,
n1118,.,r907,0.00230017,1,4.60053,4,2,1,2021.822775,0.00023,0.001806,0.564433,0,0,
n1117,.,r906,0.00287522,1,4.60053,1,2,1,2469.841851,0.000214,0.000909,0.604969,0,0,
n5,alternative.energy,11,,,,1,1,8,3297.758061,0.000201,2.90E-05,1.755586,0,0,
n1116,.,r905,0.00230017,1,4.60053,4,2,1,1658.528325,0.000215,0.001062,0.658989,0,0,
n111,leadership,170,,,,4,0,2,0.666667,0.000171,2.40E-05,0.523427,0,0,
n1115,.,r904,0.00230017,1,4.60053,5,2,1,858.181174,0.000216,0.001092,0.582372,0,0,
n1114,.,r903,0.00345026,1,4.60053,4,2,1,1914.603716,0.000229,0.001797,0.572231,0,0,
n190,terrorism,304,,,,4,2,10,3344.623544,0.000195,0.000109,2.115478,0,0,
n1113,.,r902,0.00230017,1,4.60053,4,2,1,1388.005938,0.00023,0.001866,0.559369,0,0,
