Id,Label,name,support,confidence,lift,Modularity Class,In-Degree,Out-Degree,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Clustering Coefficient,Reciprocated Vertex Pair Ratio,Dynamic Filter
n1042,.,r831,0.00230017,0.8,5.37143,5,3,1,2706.723386,0.000236,0.002224,0.701253,0,0,
n1041,.,r830,0.00230017,0.8,5.37143,5,3,1,902.412547,0.000223,0.001422,0.701996,0,0,
n1040,.,r829,0.00230017,0.8,5.37143,10,2,1,4598.680983,0.000193,0.000545,0.654074,0,0,
n120,media,183,,,,10,1,2,2271.046596,0.000166,1.90E-05,0.810246,0,0,
n1039,.,r828,0.00230017,0.8,5.37143,5,2,1,496.277653,0.000193,0.000443,0.588454,0,0,
n1038,.,r827,0.00230017,0.8,5.37143,5,2,1,930.482734,0.000223,0.00125,0.583464,0,0,
n1037,.,r826,0.00230017,0.8,5.37143,5,2,1,1138.047962,0.000215,0.001357,0.563962,0,0,
n1036,.,r825,0.00230017,0.8,5.37143,5,2,1,118.287033,0.00019,0.000555,0.564704,0,0,
n1035,.,r824,0.00230017,0.8,5.37143,6,2,1,4786.505385,0.0002,0.000386,0.705732,0,0,
n184,success,295,,,,6,1,2,4816.666667,0.000161,9.00E-06,0.905201,0,0,
n162,psychology,258,,,,6,17,10,26652.81766,0.000198,9.30E-05,4.998943,0,0,
n1034,.,r823,0.00230017,0.8,5.37143,1,2,1,4989.976166,0.000221,0.000668,0.599257,0,0,
n1033,.,r822,0.00230017,0.8,5.37143,6,2,1,2384.505385,0.0002,0.000386,0.675753,0,0,
n128,money,201,,,,6,0,2,0.666667,0.000161,9.00E-06,0.532926,0,0,
n1032,.,r821,0.00230017,0.8,5.37143,6,2,1,507.569119,0.000189,0.000394,0.617992,0,0,
n31,choice,54,,,,6,3,10,3694.541366,0.000176,9.10E-05,2.349433,0,0,
n1031,.,r820,0.00230017,0.8,5.37143,2,4,1,780.463765,0.000198,0.003727,0.811793,0,0,
n1030,.,r819,0.00230017,0.8,5.39225,2,3,1,348.23835,0.000193,0.002431,0.682179,0,0,
n1029,.,r818,0.00230017,0.8,5.39225,2,3,1,759.895218,0.000197,0.003214,0.696369,0,0,
n1028,.,r817,0.00230017,0.8,5.39225,2,3,1,8147.734828,0.000225,0.002468,0.687308,0,0,
n1027,.,r816,0.00230017,0.8,5.39225,2,3,1,547.356674,0.000197,0.002952,0.679536,0,0,
n1026,.,r815,0.00230017,0.8,5.39225,2,2,1,2276.207694,0.000221,0.002797,0.552155,0,0,
n1025,.,r814,0.00690052,0.8,5.39225,2,2,1,1259.225559,0.000191,0.00191,0.633342,0,0,
n187,TED.Fellows,299,,,,2,0,2,0.666667,0.000155,4.30E-05,0.508894,0,0,
n1024,.,r813,0.00230017,0.8,5.39225,2,2,1,125.840917,0.000182,0.001553,0.569467,0,0,
n1023,.,r812,0.00460035,0.533333,5.39225,2,2,1,210.311919,0.00019,0.001656,0.549922,0,0,
n534,.,r323,0.00230017,0.8,19.3222,10,1,1,215.967033,0.000142,6.00E-06,0.671327,0,0,
n1022,.,r811,0.00230017,0.8,5.39225,10,2,1,2156.420171,0.000187,0.001179,0.669215,0,0,
n1021,.,r810,0.00230017,0.8,5.39225,4,2,1,7773.15093,0.000196,0.001419,0.582761,0,0,
n1020,.,r809,0.00230017,0.8,5.39225,2,2,1,185.57352,0.00019,0.001506,0.55761,0,0,
n1019,.,r808,0.00230017,0.8,5.39225,2,2,1,860.311722,0.000191,0.001917,0.607787,0,0,
n202,violin,318,,,,2,0,4,17.925155,0.000155,6.50E-05,0.897531,0,0,
n1018,.,r807,0.00230017,0.8,5.39225,2,1,1,590.439613,0.000187,0.001142,0.475531,0,0,
n1017,.,r806,0.00230017,0.8,5.39225,2,1,1,739.440104,0.000187,0.001138,0.475603,0,0,
n209,wunderkind,333,,,,2,0,4,41.826313,0.000154,5.00E-05,0.897872,0,0,
n1016,.,r805,0.00230017,0.8,5.39225,7,2,1,1715.658217,0.000195,9.20E-05,0.70015,0,0,
n92,health,142,,,,7,41,31,100347.9261,0.000217,0.00024,12.488931,0,0,
n50,data,81,,,,7,0,2,93.140664,0.00017,5.00E-06,0.567755,0,0,
n1015,.,r804,0.00287522,0.833333,5.53117,3,3,1,10902.58772,0.000235,0.001815,0.723259,0,0,
n1014,.,r803,0.00230017,1,5.55591,1,3,1,3532.565038,0.000231,0.002536,0.701909,0,0,
n1013,.,r802,0.00230017,1,5.55591,1,3,1,2493.085264,0.000223,0.001482,0.712549,0,0,
n1012,.,r801,0.00230017,1,5.55591,1,3,1,7338.19608,0.000231,0.0018,0.776985,0,0,
n1011,.,r800,0.00575043,1,5.55591,8,3,1,4880.247556,0.000219,0.000693,0.793991,0,0,
n167,robots,263,,,,8,2,2,1981.724986,0.000173,1.60E-05,0.990529,0,0,
n6,animals,13,,,,8,12,12,21707.88824,0.000207,7.70E-05,4.295061,0,0,
n1010,.,r799,0.00230017,1,5.55591,1,3,1,3163.263219,0.000223,0.001437,0.736911,0,0,
n1009,.,r798,0.00230017,1,5.55591,8,3,1,3674.010168,0.000219,0.000696,0.752933,0,0,
n18,biomechanics,31,,,,8,0,7,1308.726774,0.000177,2.90E-05,1.3953,0,0,
n1008,.,r797,0.00230017,1,5.55591,3,2,1,581.663555,0.000197,0.000679,0.586416,0,0,
n1007,.,r796,0.00287522,1,5.55591,1,2,1,1732.161128,0.000196,0.000668,0.591263,0,0,
n103,innovation,154,,,,1,3,5,788.882186,0.000171,2.00E-05,1.533352,0,0,
n1006,.,r795,0.00230017,1,5.55591,1,2,1,1938.898045,0.000222,0.001328,0.571317,0,0,
n1005,.,r794,0.00517539,1,5.55591,7,2,1,7947.223526,0.000205,0.000445,0.596562,0,0,
n17,biology,30,,,,7,20,20,41497.15411,0.000197,5.40E-05,7.545354,0,0,
n1004,.,r793,0.00230017,1,5.55591,1,2,1,750.133498,0.000196,0.000452,0.593025,0,0,
n1003,.,r792,0.00287522,1,5.55591,1,2,1,583.793175,0.000195,0.000454,0.602206,0,0,
n427,.,r216,0.00460035,0.5,31.0536,8,1,1,19.970331,0.000143,5.00E-06,0.630835,0,0,
n422,.,r211,0.00230017,0.8,31.6182,8,2,1,4073.457917,0.000207,0.000305,0.76944,0,0,
n1002,.,r791,0.0040253,1,5.55591,8,2,1,1983.332874,0.000202,0.000393,0.655386,0,0,
n1001,.,r790,0.00230017,1,5.55591,1,2,1,954.472146,0.000203,0.000402,0.615485,0,0,
n1000,.,r789,0.00230017,1,5.55591,1,2,1,980.732371,0.000194,0.000381,0.659826,0,0,
n153,play,241,,,,1,1,2,2,0.000158,1.30E-05,0.710852,0,0,
n999,.,r788,0.00230017,1,5.55591,1,2,1,1679.74538,0.000195,0.000391,0.67618,0,0,
n79,flight,122,,,,1,0,2,0.666667,0.000158,9.00E-06,0.533169,0,0,
n998,.,r787,0.00230017,1,5.55591,8,2,1,1414.571334,0.000202,0.000397,0.614328,0,0,
n997,.,r786,0.00230017,1,5.55591,1,1,1,2410,0.000193,0.000368,0.657975,0,0,
n139,One.Laptop.Per.Child,222,,,,1,0,1,0,0.000157,4.00E-06,0.42964,0,0,
n996,.,r785,0.00230017,1,5.55591,1,1,1,2410,0.000193,0.000368,0.657975,0,0,
n197,typography,312,,,,1,0,1,0,0.000157,4.00E-06,0.42964,0,0,
n995,.,r784,0.00345026,1,5.55591,5,3,1,1274.372425,0.000224,0.001463,0.707413,0,0,
n994,.,r783,0.00287522,0.833333,5.59524,4,3,1,1073.177977,0.000224,0.001502,0.700178,0,0,
n993,.,r782,0.00287522,0.833333,5.59524,5,3,1,1060.80122,0.000224,0.001506,0.701327,0,0,
n992,.,r781,0.00287522,0.833333,5.59524,5,2,1,1782.127478,0.000198,0.000629,0.575856,0,0,
n991,.,r780,0.00287522,0.833333,5.59524,5,2,1,1640.690139,0.000214,0.001284,0.579357,0,0,
n990,.,r779,0.00287522,0.833333,5.59524,5,2,1,268.100145,0.000194,0.000566,0.579431,0,0,
n989,.,r778,0.00287522,0.833333,5.59524,5,2,1,180.059669,0.000195,0.000635,0.562887,0,0,
n988,.,r777,0.00287522,0.833333,5.59524,6,2,1,625.967988,0.000194,0.000501,0.58824,0,0,
n987,.,r776,0.00287522,0.833333,5.59524,5,2,1,165.349861,0.000194,0.000638,0.564036,0,0,
n986,.,r775,0.00287522,0.833333,5.59524,5,2,1,2633.31951,0.000214,0.001262,0.667173,0,0,
n985,.,r774,0.00287522,0.833333,5.59524,11,3,1,6535.125814,0.000231,0.001806,0.747186,0,0,
n984,.,r773,0.00287522,0.833333,5.61693,2,2,1,252.065141,0.000189,0.001582,0.566017,0,0,
n983,.,r772,0.00287522,0.833333,5.61693,2,2,1,4891.119914,0.000223,0.001693,0.555052,0,0,
n278,.,r67,0.00230017,0.8,63.2364,9,2,1,1495.725199,0.000187,0.001146,0.722964,0,0,
n982,.,r771,0.00287522,0.833333,5.61693,9,2,1,1495.725199,0.000187,0.001146,0.722964,0,0,
n100,illusion,151,,,,9,0,2,0.666667,0.000153,2.60E-05,0.55968,0,0,
n981,.,r770,0.00287522,0.833333,5.61693,2,2,1,106.555615,0.000191,0.00212,0.551262,0,0,
n40,conducting,68,,,,2,1,24,1833.576801,0.000179,0.000788,3.94705,0,0,
n980,.,r769,0.00287522,0.833333,5.61693,1,3,1,1396.176778,0.000206,0.002052,0.691556,0,0,
n979,.,r768,0.00287522,0.555556,5.61693,2,2,1,282.105863,0.000192,0.001696,0.550755,0,0,
n978,.,r767,0.00287522,0.555556,5.61693,2,2,1,446.148202,0.000194,0.00238,0.56871,0,0,
n977,.,r766,0.00287522,0.555556,5.61693,2,2,1,328.408615,0.000197,0.003106,0.547654,0,0,
n976,.,r765,0.0149511,0.83871,5.65316,2,2,1,452.096836,0.000194,0.002439,0.564112,0,0,
n975,.,r764,0.00517539,0.5625,5.68714,5,1,1,2410,0.000188,0.000359,0.656571,0,0,
n77,finance,120,,,,5,0,1,0,0.000153,4.00E-06,0.429043,0,0,
n974,.,r763,0.00345026,0.857143,5.7551,1,3,1,10756.9121,0.000235,0.002565,0.698449,0,0,
n973,.,r762,0.00345026,0.857143,5.77741,2,2,1,247.367836,0.000191,0.001948,0.571902,0,0,
n972,.,r761,0.00345026,0.857143,5.77741,2,1,1,35.534668,0.000187,0.001345,0.419005,0,0,
n971,.,r760,0.00345026,0.857143,5.77741,2,3,1,2183.201589,0.000224,0.003422,0.685091,0,0,
n970,.,r759,0.00460035,0.571429,5.77741,1,2,1,398.995782,0.000182,0.001521,0.591941,0,0,
n969,.,r758,0.00230017,0.571429,5.77741,2,2,1,1042.262054,0.000214,0.002149,0.575675,0,0,
n164,race,260,,,,2,0,5,40.860119,0.000176,0.000151,0.941115,0,0,
n968,.,r757,0.00230017,0.571429,5.77741,2,2,1,503.044156,0.000189,0.002064,0.564607,0,0,
n967,.,r756,0.00230017,0.571429,5.77741,2,3,1,550.972717,0.000197,0.003376,0.679296,0,0,
n966,.,r755,0.0040253,0.875,5.89777,4,2,1,753.040012,0.000215,0.002154,0.56685,0,0,
n965,.,r754,0.0040253,0.583333,5.89777,4,2,1,429.376116,0.000189,0.001353,0.56859,0,0,
n964,.,r753,0.0040253,0.875,5.89777,1,2,1,843.75487,0.000215,0.002403,0.551248,0,0,
n963,.,r752,0.00747556,0.590909,5.97437,2,3,1,3046.40569,0.000225,0.004005,0.682747,0,0,
n962,.,r751,0.00460035,0.888889,5.99139,2,2,1,343.297482,0.000196,0.002601,0.547039,0,0,
n961,.,r750,0.00460035,0.888889,5.99139,2,2,1,1797.41249,0.00022,0.002881,0.547942,0,0,
n960,.,r749,0.00517539,0.6,6.06628,2,2,1,1806.36937,0.000217,0.002457,0.548182,0,0,
n959,.,r748,0.00345026,0.6,6.06628,4,2,1,4040.099568,0.000222,0.001471,0.574575,0,0,
n958,.,r747,0.00517539,0.9,6.06628,2,1,1,105.855024,0.000187,0.001236,0.425969,0,0,
n957,.,r746,0.00517539,0.9,6.06628,2,3,1,546.330173,0.000198,0.003456,0.680151,0,0,
n956,.,r745,0.00575043,0.909091,6.12755,5,3,1,1555.704233,0.000219,0.00121,0.725112,0,0,
n955,.,r744,0.00230017,0.5,6.30072,4,2,1,1658.528325,0.000215,0.001062,0.658989,0,0,
n954,.,r743,0.00287522,0.5,6.30072,4,2,1,93.769983,0.000178,0.000323,0.582787,0,0,
n953,.,r742,0.00460035,0.5,6.30072,10,1,1,2625.134941,0.000173,0.000188,0.590999,0,0,
n136,news,215,,,,10,0,2,426.371212,0.000144,2.00E-06,0.686489,0,0,
n952,.,r741,0.00230017,0.5,6.30072,2,3,1,2632.297186,0.000225,0.003412,0.683111,0,0,
n951,.,r740,0.00287522,0.625,6.31904,2,2,1,347.564494,0.000192,0.00175,0.547689,0,0,
n950,.,r739,0.00287522,0.625,6.31904,2,1,1,2410,0.00018,0.001211,0.638892,0,0,
n144,performance.art,232,,,,2,0,1,0,0.000148,1.40E-05,0.421529,0,0,
n949,.,r738,0.00287522,0.625,6.31904,1,3,1,7190.193811,0.000232,0.001817,0.742649,0,0,
n948,.,r737,0.00230017,0.5,6.39338,3,2,1,1274.509851,0.000196,7.40E-05,0.622765,0,0,
n947,.,r736,0.00460035,0.5,6.39338,1,2,1,3169.413668,0.000211,0.000337,0.608523,0,0,
n946,.,r735,0.00230017,0.5,6.39338,2,1,1,1102.89701,0.00018,0.001217,0.462407,0,0,
n191,theater,305,,,,2,1,3,25.676664,0.000156,3.20E-05,0.855597,0,0,
n945,.,r734,0.0040253,0.636364,6.43393,4,2,1,841.829935,0.000216,0.001152,0.578166,0,0,
n944,.,r733,0.0120759,0.512195,6.4544,3,2,1,3723.347753,0.00021,0.00095,0.596442,0,0,
n943,.,r732,0.00632547,0.52381,6.69783,4,3,1,2683.996951,0.000227,0.001593,0.713584,0,0,
n942,.,r731,0.00287522,1,6.71429,6,3,1,2805.791287,0.00022,0.0014,0.723333,0,0,
n941,.,r730,0.00287522,1,6.71429,5,2,1,803.734997,0.000198,0.000609,0.570215,0,0,
n940,.,r729,0.0040253,1,6.71429,4,2,1,1445.297742,0.000201,0.000725,0.576293,0,0,
n389,.,r178,0.00230017,0.666667,35.1313,5,1,1,73.380803,0.000144,3.00E-06,0.737645,0,0,
n208,work,330,,,,5,1,1,1940.722982,0.000174,7.00E-06,0.665623,0,0,
n939,.,r728,0.00287522,1,6.71429,5,2,1,8175.631343,0.00022,0.00066,0.713379,0,0,
n938,.,r727,0.00230017,1,6.71429,7,2,1,4808.130526,0.000204,0.000382,0.76505,0,0,
n42,consumerism,70,,,,7,0,1,0,0.000164,4.00E-06,0.366764,0,0,
n937,.,r726,0.00230017,1,6.71429,1,3,1,3088.098609,0.000231,0.002769,0.69403,0,0,
n936,.,r725,0.00345026,0.666667,6.74031,1,3,1,2642.698759,0.000215,0.002994,0.693742,0,0,
n935,.,r724,0.00575043,0.666667,6.74031,1,3,1,4962.634097,0.000225,0.001985,0.687379,0,0,
n934,.,r723,0.00230017,0.666667,6.74031,2,3,1,3046.40569,0.000225,0.004005,0.682747,0,0,
n933,.,r722,0.00460035,0.666667,6.74031,4,3,1,5433.736672,0.000241,0.003166,0.687577,0,0,
n932,.,r721,0.00345026,0.666667,6.74031,2,3,1,1439.589318,0.000205,0.00192,0.713776,0,0,
n931,.,r720,0.00230017,0.666667,6.74031,2,3,1,3068.48502,0.000225,0.003581,0.682988,0,0,
n524,.,r313,0.00230017,1,19.7614,4,3,1,5141.11985,0.00024,0.003022,0.704141,0,0,
n930,.,r719,0.00230017,0.666667,6.74031,4,3,1,5141.11985,0.00024,0.003022,0.704141,0,0,
n929,.,r718,0.00230017,0.666667,6.74031,1,2,1,741.990655,0.000182,0.001515,0.605445,0,0,
n928,.,r717,0.00230017,0.666667,6.74031,2,2,1,347.35311,0.000185,0.001666,0.561804,0,0,
n927,.,r716,0.00230017,0.666667,6.74031,2,2,1,1402.459909,0.000214,0.002128,0.592766,0,0,
n926,.,r715,0.00230017,0.666667,6.74031,2,2,1,618.386729,0.000194,0.002413,0.567156,0,0,
n925,.,r714,0.00230017,0.666667,6.74031,2,4,1,3320.906904,0.000226,0.004226,0.816947,0,0,
n924,.,r713,0.00230017,1,6.74031,2,3,1,600.304828,0.000198,0.003288,0.680274,0,0,
n923,.,r712,0.00230017,1,6.74031,2,3,1,689.274588,0.000196,0.00279,0.696609,0,0,
n922,.,r711,0.00230017,1,6.74031,2,3,1,2374.568143,0.000223,0.003272,0.710481,0,0,
n921,.,r710,0.00230017,1,6.74031,2,3,1,671.740226,0.000197,0.003218,0.688818,0,0,
n920,.,r709,0.00230017,1,6.74031,2,3,1,306.40909,0.000192,0.002361,0.690722,0,0,
n919,.,r708,0.00230017,1,6.74031,2,3,1,896.906852,0.000197,0.003188,0.699412,0,0,
n918,.,r707,0.00230017,1,6.74031,2,3,1,1949.488407,0.000224,0.003451,0.684691,0,0,
n917,.,r706,0.00230017,1,6.74031,2,3,1,2511.623708,0.000221,0.003018,0.686355,0,0,
n916,.,r705,0.00230017,1,6.74031,2,3,1,418.82387,0.000197,0.003327,0.681854,0,0,
n915,.,r704,0.00287522,1,6.74031,2,2,1,525.492536,0.000197,0.001424,0.56812,0,0,
n914,.,r703,0.00287522,1,6.74031,2,2,1,268.729486,0.000187,0.001282,0.58836,0,0,
n913,.,r702,0.00230017,1,6.74031,2,2,1,395.981993,0.000194,0.002374,0.575388,0,0,
n912,.,r701,0.00230017,1,6.74031,2,2,1,440.638677,0.000194,0.002443,0.556561,0,0,
n911,.,r700,0.00230017,1,6.74031,2,2,1,198.317903,0.000191,0.00201,0.558225,0,0,
n910,.,r699,0.00460035,1,6.74031,2,2,1,188.514356,0.000189,0.001586,0.558466,0,0,
n909,.,r698,0.00230017,1,6.74031,2,2,1,618.386729,0.000194,0.002413,0.567156,0,0,
n908,.,r697,0.00230017,1,6.74031,2,2,1,1278.843882,0.000218,0.002244,0.554098,0,0,
n907,.,r696,0.00230017,1,6.74031,2,2,1,209.164252,0.000194,0.002552,0.549598,0,0,
n906,.,r695,0.00287522,1,6.74031,2,2,1,881.401224,0.000189,0.001488,0.6081,0,0,
n905,.,r694,0.00230017,1,6.74031,4,3,1,1309.45188,0.000216,0.00119,0.720079,0,0,
n904,.,r693,0.0040253,0.538462,6.7854,4,2,1,1658.528325,0.000215,0.001062,0.658989,0,0,
n903,.,r692,0.0040253,0.538462,6.7854,4,2,1,115.273064,0.000178,0.000315,0.590721,0,0,
n902,.,r691,0.00287522,0.555556,7.00081,3,2,1,4655.397401,0.00021,0.000327,0.751333,0,0,
n119,math,182,,,,3,0,1,0,0.000168,4.00E-06,0.362878,0,0,
n901,.,r690,0.00287522,0.555556,7.10376,4,3,1,1184.678995,0.000216,0.001183,0.728012,0,0,
n900,.,r689,0.00230017,0.571429,7.20083,5,2,1,11149.97816,0.000201,0.001368,0.578237,0,0,
n899,.,r688,0.00230017,0.571429,7.20083,4,2,1,421.489232,0.000186,0.000295,0.605359,0,0,
n898,.,r687,0.00230017,0.571429,7.20083,2,2,1,431.096189,0.000191,0.00209,0.561563,0,0,
n897,.,r686,0.00287522,0.714286,7.22176,2,1,1,39.085199,0.00018,0.001429,0.414792,0,0,
n896,.,r685,0.00287522,0.714286,7.22176,3,3,1,315.371842,0.000167,7.40E-05,0.765902,0,0,
n210,yesallwomen,334,,,,3,3,11,2280.795866,0.000172,1.80E-05,2.575503,0,0,
n75,feminism,118,,,,3,5,10,5058.116603,0.000183,2.90E-05,2.741466,0,0,
n895,.,r684,0.00230017,0.571429,7.30672,3,2,1,174.666866,0.000163,3.90E-05,0.616002,0,0,
n894,.,r683,0.00230017,0.571429,7.30672,1,3,1,5408.547197,0.00023,0.00217,0.697541,0,0,
n893,.,r682,0.00517539,0.5,7.43162,1,3,1,7176.071072,0.000232,0.002927,0.689565,0,0,
n892,.,r681,0.00287522,0.5,7.43162,7,3,1,5292.468115,0.000221,0.000424,0.738437,0,0,
n122,medicine,185,,,,7,28,19,23753.70181,0.000193,0.000147,7.854784,0,0,
n891,.,r680,0.00230017,0.5,7.43162,7,3,1,6769.010595,0.000225,0.000762,0.721733,0,0,
n890,.,r679,0.00230017,0.5,7.43162,2,2,1,3583.141721,0.000223,0.001804,0.55476,0,0,
n889,.,r678,0.00747556,0.5,7.43162,6,2,1,2338.696541,0.000204,0.000682,0.585972,0,0,
n888,.,r677,0.00287522,0.5,7.43162,7,2,1,1184.723073,0.000196,0.000152,0.597174,0,0,
n59,disease,94,,,,7,2,7,1398.934544,0.000188,4.30E-05,1.631097,0,0,
n887,.,r676,0.00575043,0.5,7.43162,7,2,1,3796,0.000172,6.90E-05,0.772322,0,0,
n80,food,123,,,,7,3,2,6625.5,0.000143,2.00E-06,1.449309,0,0,
n2,agriculture,6,,,,7,1,2,2,0.000143,2.00E-06,0.806474,0,0,
n886,.,r675,0.00230017,0.5,7.43162,4,1,1,131.553618,0.000173,0.000195,0.505939,0,0,
n885,.,r674,0.00345026,0.6,7.56087,1,2,1,407.368843,0.000196,0.002627,0.55096,0,0,
n884,.,r673,0.0120759,0.75,7.58285,4,2,1,1267.57017,0.000215,0.001065,0.629555,0,0,
n883,.,r672,0.00287522,0.625,7.87591,4,1,1,406.590494,0.000173,0.000191,0.526025,0,0,
n161,protests,257,,,,4,1,3,1755.327884,0.000171,1.40E-05,1.067218,0,0,
n882,.,r671,0.00287522,0.625,7.87591,7,2,1,7493.024556,0.000222,0.000963,0.577638,0,0,
n881,.,r670,0.0040253,0.538462,8.00329,4,1,1,48.722436,0.000173,0.000198,0.471337,0,0,
n88,government,137,,,,4,0,6,568.836836,0.000184,3.80E-05,1.214791,0,0,
n880,.,r669,0.00920069,0.64,8.06493,1,3,1,695.65694,0.000197,0.002809,0.68358,0,0,
n879,.,r668,0.00230017,0.8,8.08837,2,3,1,1222.829249,0.000215,0.002452,0.70456,0,0,
n878,.,r667,0.00230017,0.8,8.08837,2,3,1,689.274588,0.000196,0.00279,0.696609,0,0,
n877,.,r666,0.00230017,0.8,8.08837,2,3,1,896.906852,0.000197,0.003188,0.699412,0,0,
n876,.,r665,0.00230017,0.8,8.08837,1,2,1,459.989196,0.00019,0.001657,0.557387,0,0,
n875,.,r664,0.00460035,0.8,8.08837,2,2,1,192.457414,0.000195,0.001532,0.550783,0,0,
n874,.,r663,0.00230017,0.8,8.08837,2,2,1,1077.861697,0.000183,0.001264,0.63006,0,0,
n873,.,r662,0.00230017,0.8,8.08837,2,2,1,288.858581,0.00018,0.001278,0.610985,0,0,
n872,.,r661,0.00230017,0.8,8.08837,7,3,1,2523.624138,0.000198,0.000196,0.74552,0,0,
n871,.,r660,0.00345026,0.545455,8.10723,7,2,1,5512.143896,0.000221,0.000947,0.588778,0,0,
n870,.,r659,0.00345026,0.545455,8.10723,1,3,1,1662.083406,0.000218,0.002556,0.69248,0,0,
n869,.,r658,0.00287522,0.555556,8.25736,7,1,1,309.163993,0.000172,6.90E-05,0.479189,0,0,
n124,microbiology,191,,,,7,0,6,274.828892,0.00016,5.00E-06,1.282944,0,0,
n868,.,r657,0.00287522,0.555556,8.25736,7,3,1,2319.187719,0.000215,0.000437,0.721006,0,0,
n867,.,r656,0.00517539,0.5625,8.36058,7,2,1,889.030127,0.000197,0.000132,0.600909,0,0,
n866,.,r655,0.00517539,0.5625,8.36058,7,2,1,101.088743,0.000174,0.000137,0.582401,0,0,
n865,.,r654,0.0103508,0.5625,8.36058,4,3,1,151.426726,0.000178,0.000362,0.724836,0,0,
n864,.,r653,0.00230017,0.666667,8.40097,4,2,1,6549.729609,0.000216,0.000498,0.609942,0,0,
n863,.,r652,0.00230017,0.666667,8.40097,4,1,1,214.386521,0.000173,0.000192,0.518268,0,0,
n108,iraq,163,,,,4,0,3,89.389834,0.000171,1.50E-05,0.773037,0,0,
n862,.,r651,0.00345026,0.666667,8.40097,2,2,1,209.164252,0.000194,0.002552,0.549598,0,0,
n861,.,r650,0.00287522,0.833333,8.42539,2,2,1,193.519258,0.000189,0.002204,0.547048,0,0,
n860,.,r649,0.00287522,0.833333,8.42539,11,4,1,9651.697401,0.00023,0.000496,0.884125,0,0,
n859,.,r648,0.00230017,0.571429,8.49328,2,3,1,4962.634097,0.000225,0.001985,0.687379,0,0,
n858,.,r647,0.00230017,0.571429,8.49328,7,3,1,1603.095382,0.000196,0.000193,0.739229,0,0,
n857,.,r646,0.00230017,0.571429,8.49328,7,2,1,4320.186565,0.000208,0.000475,0.582275,0,0,
n856,.,r645,0.00460035,0.571429,8.49328,5,2,1,1850.275206,0.000187,0.000194,0.603087,0,0,
n179,statistics,290,,,,5,1,6,362.607817,0.000177,3.10E-05,1.341606,0,0,
n855,.,r644,0.00230017,0.571429,8.49328,7,2,1,1880.107509,0.000196,0.000141,0.624877,0,0,
n854,.,r643,0.00230017,0.571429,8.49328,7,2,1,870.785486,0.000179,8.40E-05,0.639528,0,0,
n853,.,r642,0.00230017,0.571429,8.49328,1,2,1,2088.037016,0.000195,0.000666,0.667142,0,0,
n129,museums,206,,,,1,0,2,13.834799,0.000158,1.10E-05,0.561876,0,0,
n852,.,r641,0.00230017,0.571429,8.49328,3,2,1,363.875536,0.000184,6.70E-05,0.619421,0,0,
n851,.,r640,0.00230017,0.666667,8.52451,3,2,1,3842.548243,0.000213,0.000423,0.578722,0,0,
n850,.,r639,0.00230017,0.666667,8.52451,2,3,1,2262.863937,0.000225,0.003526,0.686053,0,0,
n849,.,r638,0.00345026,0.857143,8.66611,7,3,1,7111.890484,0.000225,0.000775,0.72088,0,0,
n848,.,r637,0.0040253,0.583333,8.67023,3,2,1,3480.086172,0.000202,0.000112,0.613093,0,0,
n847,.,r636,0.00287522,0.5,8.78283,7,2,1,966.568366,0.000174,3.70E-05,0.660848,0,0,
n70,evolution,109,,,,7,2,2,119.669022,0.000156,2.00E-06,0.93361,0,0,
n846,.,r635,0.00287522,0.5,8.78283,11,2,1,2920.168949,0.000191,8.80E-05,0.704555,0,0,
n104,insects,155,,,,11,2,1,1721.201133,0.000155,2.00E-06,0.877159,0,0,
n304,.,r93,0.00230017,0.666667,50.4058,11,1,1,4.399787,0.000131,1.00E-06,0.686481,0,0,
n284,.,r73,0.00575043,0.714286,59.1497,11,2,1,4817.302913,0.000184,7.30E-05,0.832169,0,0,
n845,.,r634,0.00345026,0.5,8.78283,7,1,1,2410,0.000159,1.50E-05,0.685462,0,0,
n19,biomimicry,32,,,,7,0,1,0,0.000134,0,0.441321,0,0,
n844,.,r633,0.00230017,0.5,8.78283,8,1,1,235.06564,0.00016,2.30E-05,0.479768,0,0,
n843,.,r632,0.00230017,0.5,8.78283,1,2,1,459.989196,0.00019,0.001657,0.557387,0,0,
n842,.,r631,0.00460035,0.615385,9.14661,5,2,1,1850.275206,0.000187,0.000194,0.603087,0,0,
n841,.,r630,0.00230017,0.5,9.15263,5,2,1,638.31254,0.000216,0.001033,0.575263,0,0,
n840,.,r629,0.00345026,0.5,9.15263,6,1,1,1509.489124,0.000162,0.000118,0.562243,0,0,
n15,behavioral.economics,26,,,,6,0,2,85.951191,0.000145,2.00E-06,0.634126,0,0,
n839,.,r628,0.00230017,0.5,9.15263,7,3,1,19632.86426,0.000239,0.001019,0.734466,0,0,
n838,.,r627,0.00287522,0.625,9.28953,2,2,1,250.453497,0.000183,0.001554,0.570994,0,0,
n837,.,r626,0.00287522,0.625,9.28953,5,2,1,638.415714,0.000187,0.000132,0.6129,0,0,
n4,AIDS,8,,,,5,1,6,781.686372,0.000175,2.70E-05,1.410468,0,0,
n836,.,r625,0.00287522,0.625,9.28953,11,3,1,4251.162478,0.000223,0.000441,0.719255,0,0,
n835,.,r624,0.00460035,0.5,9.45109,7,3,1,4392.000365,0.00022,0.000736,0.716349,0,0,
